person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
23,33000,RENT,0.0,EDUCATION,B,4600,11.71,0,0.14,N,3
26,96500,RENT,10.0,DEBTCONSOLIDATION,C,8000,13.61,0,0.08,Y,3
29,66000,MORTGAGE,10.0,DEBTCONSOLIDATION,B,7000,9.91,0,0.11,N,10
27,24000,RENT,0.0,PERSONAL,B,2800,10.95,0,0.12,N,10
25,23198,RENT,2.0,VENTURE,A,6000,8.0,0,0.26,N,4
22,34800,RENT,7.0,VENTURE,G,9600,19.16,1,0.28,Y,4
23,53664,MORTGAGE,7.0,EDUCATION,B,15000,10.75,0,0.28,N,4
22,36000,RENT,4.0,MEDICAL,B,4200,9.91,1,0.12,N,2
22,60000,RENT,6.0,MEDICAL,C,15000,13.35,0,0.25,Y,3
22,16320,RENT,0.0,DEBTCONSOLIDATION,B,5000,12.53,1,0.31,N,2
30,45000,MORTGAGE,5.0,EDUCATION,B,3250,10.62,0,0.07,N,6
21,44004,MORTGAGE,5.0,VENTURE,B,7200,11.89,0,0.16,N,4
24,52000,MORTGAGE,7.0,MEDICAL,C,5000,14.22,0,0.1,N,2
27,67000,RENT,5.0,DEBTCONSOLIDATION,C,12000,13.23,0,0.18,Y,9
24,87000,MORTGAGE,6.0,PERSONAL,B,6000,10.65,0,0.07,N,4
23,50000,RENT,7.0,PERSONAL,B,15000,10.37,0,0.3,N,3
26,70000,RENT,5.0,HOMEIMPROVEMENT,A,11000,6.62,0,0.16,N,4
25,38014,MORTGAGE,4.0,HOMEIMPROVEMENT,A,10000,8.49,0,0.26,N,3
36,69000,RENT,20.0,VENTURE,C,35000,,1,0.51,N,15
33,113800,RENT,8.0,MEDICAL,B,5000,11.83,0,0.04,N,9
25,108000,MORTGAGE,9.0,MEDICAL,B,15000,10.39,0,0.14,N,4
